Old_Skin_non-dox_5245
ENSMUSG00000000001	4490
ENSMUSG00000000003	0
ENSMUSG00000000028	298
ENSMUSG00000000031	10447
ENSMUSG00000000037	95
ENSMUSG00000000049	6599
ENSMUSG00000000056	1963
ENSMUSG00000000058	3329
ENSMUSG00000000078	3665
ENSMUSG00000000085	602
ENSMUSG00000000088	1043
ENSMUSG00000000093	46
ENSMUSG00000000094	28
ENSMUSG00000000103	0
ENSMUSG00000000120	422
ENSMUSG00000000125	698
ENSMUSG00000000126	115
ENSMUSG00000000127	857
ENSMUSG00000000131	1660
ENSMUSG00000000134	1131
ENSMUSG00000000142	877
ENSMUSG00000000148	466
ENSMUSG00000000149	2015
ENSMUSG00000000154	506
ENSMUSG00000000157	4
ENSMUSG00000000159	97
ENSMUSG00000000167	20
ENSMUSG00000000168	1480
ENSMUSG00000000171	4371
ENSMUSG00000000182	1
ENSMUSG00000000183	18
ENSMUSG00000000184	4711
ENSMUSG00000000194	2367
ENSMUSG00000000197	16
ENSMUSG00000000202	3
ENSMUSG00000000204	278
ENSMUSG00000000214	41
ENSMUSG00000000215	0
ENSMUSG00000000216	51
ENSMUSG00000000223	251
ENSMUSG00000000244	251
ENSMUSG00000000247	167
ENSMUSG00000000248	153
ENSMUSG00000000253	891
ENSMUSG00000000263	7
ENSMUSG00000000266	760
ENSMUSG00000000275	1998
ENSMUSG00000000276	395
ENSMUSG00000000278	2618
ENSMUSG00000000282	594
ENSMUSG00000000290	1994
ENSMUSG00000000295	295
ENSMUSG00000000296	315
ENSMUSG00000000301	767
ENSMUSG00000000303	6294
ENSMUSG00000000305	549
ENSMUSG00000000308	2405
ENSMUSG00000000317	60
ENSMUSG00000000318	1488
ENSMUSG00000000320	513
ENSMUSG00000000325	1271
ENSMUSG00000000326	5270
ENSMUSG00000000339	232
ENSMUSG00000000340	1024
ENSMUSG00000000346	4675
ENSMUSG00000000355	705
ENSMUSG00000000359	64
ENSMUSG00000000365	5
ENSMUSG00000000374	1803
ENSMUSG00000000378	973
ENSMUSG00000000381	0
ENSMUSG00000000384	768
ENSMUSG00000000385	54
ENSMUSG00000000386	138
ENSMUSG00000000392	604
ENSMUSG00000000394	2
ENSMUSG00000000399	3397
ENSMUSG00000000402	70
ENSMUSG00000000409	620
