4F_Lung_non-dox_1017
ENSMUSG00000000001	2881
ENSMUSG00000000003	0
ENSMUSG00000000028	73
ENSMUSG00000000031	4121
ENSMUSG00000000037	7
ENSMUSG00000000049	26
ENSMUSG00000000056	551
ENSMUSG00000000058	7716
ENSMUSG00000000078	6257
ENSMUSG00000000085	1009
ENSMUSG00000000088	878
ENSMUSG00000000093	3571
ENSMUSG00000000094	2158
ENSMUSG00000000103	0
ENSMUSG00000000120	11
ENSMUSG00000000125	1
ENSMUSG00000000126	322
ENSMUSG00000000127	330
ENSMUSG00000000131	1697
ENSMUSG00000000134	946
ENSMUSG00000000142	591
ENSMUSG00000000148	458
ENSMUSG00000000149	2007
ENSMUSG00000000154	240
ENSMUSG00000000157	39
ENSMUSG00000000159	561
ENSMUSG00000000167	218
ENSMUSG00000000168	1022
ENSMUSG00000000171	2232
ENSMUSG00000000182	0
ENSMUSG00000000183	12
ENSMUSG00000000184	2379
ENSMUSG00000000194	1506
ENSMUSG00000000197	55
ENSMUSG00000000202	2
ENSMUSG00000000204	788
ENSMUSG00000000214	1
ENSMUSG00000000215	0
ENSMUSG00000000216	4875
ENSMUSG00000000223	23
ENSMUSG00000000244	113
ENSMUSG00000000247	0
ENSMUSG00000000248	22
ENSMUSG00000000253	377
ENSMUSG00000000263	0
ENSMUSG00000000266	1501
ENSMUSG00000000275	2559
ENSMUSG00000000276	876
ENSMUSG00000000278	971
ENSMUSG00000000282	764
ENSMUSG00000000290	2463
ENSMUSG00000000295	194
ENSMUSG00000000296	96
ENSMUSG00000000301	47
ENSMUSG00000000303	7360
ENSMUSG00000000305	85
ENSMUSG00000000308	1086
ENSMUSG00000000317	740
ENSMUSG00000000318	191
ENSMUSG00000000320	197
ENSMUSG00000000325	757
ENSMUSG00000000326	1434
ENSMUSG00000000339	635
ENSMUSG00000000340	906
ENSMUSG00000000346	7037
ENSMUSG00000000355	419
ENSMUSG00000000359	87
ENSMUSG00000000365	4
ENSMUSG00000000374	1696
ENSMUSG00000000378	817
ENSMUSG00000000381	0
ENSMUSG00000000384	469
ENSMUSG00000000385	2291
ENSMUSG00000000386	34
ENSMUSG00000000392	56
ENSMUSG00000000394	0
ENSMUSG00000000399	1154
ENSMUSG00000000402	986
ENSMUSG00000000409	296
