Skeletal_Muscle_4F_6556
ENSMUSG00000000001	1240
ENSMUSG00000000003	0
ENSMUSG00000000028	133
ENSMUSG00000000031	17637
ENSMUSG00000000037	3
ENSMUSG00000000049	11
ENSMUSG00000000056	6208
ENSMUSG00000000058	2320
ENSMUSG00000000078	2135
ENSMUSG00000000085	1048
ENSMUSG00000000088	8397
ENSMUSG00000000093	65
ENSMUSG00000000094	74
ENSMUSG00000000103	0
ENSMUSG00000000120	61
ENSMUSG00000000125	4
ENSMUSG00000000126	731
ENSMUSG00000000127	513
ENSMUSG00000000131	828
ENSMUSG00000000134	438
ENSMUSG00000000142	213
ENSMUSG00000000148	328
ENSMUSG00000000149	1292
ENSMUSG00000000154	31
ENSMUSG00000000157	0
ENSMUSG00000000159	0
ENSMUSG00000000167	22
ENSMUSG00000000168	4528
ENSMUSG00000000171	11613
ENSMUSG00000000182	4
ENSMUSG00000000183	181
ENSMUSG00000000184	1122
ENSMUSG00000000194	2015
ENSMUSG00000000197	21
ENSMUSG00000000202	3
ENSMUSG00000000204	14
ENSMUSG00000000214	2
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	196
ENSMUSG00000000244	50
ENSMUSG00000000247	8
ENSMUSG00000000248	1
ENSMUSG00000000253	4959
ENSMUSG00000000263	0
ENSMUSG00000000266	440
ENSMUSG00000000275	712
ENSMUSG00000000276	289
ENSMUSG00000000278	737
ENSMUSG00000000282	355
ENSMUSG00000000290	324
ENSMUSG00000000295	358
ENSMUSG00000000296	1126
ENSMUSG00000000301	92
ENSMUSG00000000303	22
ENSMUSG00000000305	535
ENSMUSG00000000308	7
ENSMUSG00000000317	151
ENSMUSG00000000318	496
ENSMUSG00000000320	81
ENSMUSG00000000325	555
ENSMUSG00000000326	1912
ENSMUSG00000000339	1084
ENSMUSG00000000340	1157
ENSMUSG00000000346	2286
ENSMUSG00000000355	1326
ENSMUSG00000000359	75
ENSMUSG00000000365	3
ENSMUSG00000000374	2192
ENSMUSG00000000378	924
ENSMUSG00000000381	0
ENSMUSG00000000384	1058
ENSMUSG00000000385	0
ENSMUSG00000000386	19
ENSMUSG00000000392	497
ENSMUSG00000000394	1
ENSMUSG00000000399	7203
ENSMUSG00000000402	22
ENSMUSG00000000409	123
ENSMUSG00000000411	0
ENSMUSG00000000416	21
ENSMUSG00000000420	2895
ENSMUSG00000000435	79
ENSMUSG00000000439	2260
ENSMUSG00000000440	823
ENSMUSG00000000441	5004
ENSMUSG00000000486	92
ENSMUSG00000000489	878
ENSMUSG00000000530	695
ENSMUSG00000000531	207
ENSMUSG00000000532	3014
ENSMUSG00000000538	3800
ENSMUSG00000000544	0
ENSMUSG00000000552	331
ENSMUSG00000000555	327
ENSMUSG00000000560	5
ENSMUSG00000000561	643
ENSMUSG00000000562	9
ENSMUSG00000000563	10898
ENSMUSG00000000567	97
ENSMUSG00000000568	1274
ENSMUSG00000000579	0
ENSMUSG00000000581	1668
ENSMUSG00000000594	1284
ENSMUSG00000000600	931
ENSMUSG00000000605	2371
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	15
ENSMUSG00000000628	9174
ENSMUSG00000000631	4563
ENSMUSG00000000632	14
ENSMUSG00000000673	11
ENSMUSG00000000682	232
ENSMUSG00000000686	253
ENSMUSG00000000690	26
ENSMUSG00000000693	157
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	1604
ENSMUSG00000000711	2047
ENSMUSG00000000724	0
ENSMUSG00000000730	8
ENSMUSG00000000731	0
ENSMUSG00000000732	140
ENSMUSG00000000738	2716
ENSMUSG00000000739	246
ENSMUSG00000000740	30
ENSMUSG00000000743	2249
ENSMUSG00000000751	3034
ENSMUSG00000000753	2153
ENSMUSG00000000759	565
ENSMUSG00000000766	0
ENSMUSG00000000776	558
ENSMUSG00000000782	146
ENSMUSG00000000787	6670
ENSMUSG00000000791	16
ENSMUSG00000000792	2
ENSMUSG00000000794	91
ENSMUSG00000000804	836
ENSMUSG00000000805	271
ENSMUSG00000000811	244
ENSMUSG00000000817	5
ENSMUSG00000000823	734
ENSMUSG00000000826	2678
ENSMUSG00000000827	2890
ENSMUSG00000000838	632
ENSMUSG00000000861	20
ENSMUSG00000000869	1
ENSMUSG00000000876	832
ENSMUSG00000000881	114
ENSMUSG00000000884	98
ENSMUSG00000000889	1
ENSMUSG00000000901	118
ENSMUSG00000000902	616
ENSMUSG00000000903	4
ENSMUSG00000000915	865
ENSMUSG00000000916	308
ENSMUSG00000000934	417
ENSMUSG00000000938	866
ENSMUSG00000000942	123
ENSMUSG00000000948	5
ENSMUSG00000000957	493
ENSMUSG00000000958	66
ENSMUSG00000000959	1383
ENSMUSG00000000976	649
ENSMUSG00000000982	2
ENSMUSG00000000983	0
ENSMUSG00000001014	35
ENSMUSG00000001016	1209
ENSMUSG00000001017	2423
ENSMUSG00000001018	3794
ENSMUSG00000001020	199
ENSMUSG00000001021	0
ENSMUSG00000001023	1
ENSMUSG00000001025	2323
ENSMUSG00000001027	13268
ENSMUSG00000001029	262
ENSMUSG00000001034	166
ENSMUSG00000001036	1324
ENSMUSG00000001039	116
ENSMUSG00000001052	988
ENSMUSG00000001053	154
ENSMUSG00000001054	538
ENSMUSG00000001056	833
ENSMUSG00000001062	795
ENSMUSG00000001065	438
ENSMUSG00000001076	0
ENSMUSG00000001082	152
ENSMUSG00000001089	920
ENSMUSG00000001095	0
ENSMUSG00000001098	1244
ENSMUSG00000001100	3355
ENSMUSG00000001103	1
ENSMUSG00000001105	577
ENSMUSG00000001119	2233
ENSMUSG00000001120	77
ENSMUSG00000001123	547
ENSMUSG00000001127	3375
ENSMUSG00000001128	592
ENSMUSG00000001131	63
ENSMUSG00000001134	178
ENSMUSG00000001138	677
ENSMUSG00000001143	1239
ENSMUSG00000001150	881
ENSMUSG00000001151	2850
ENSMUSG00000001155	1
ENSMUSG00000001156	270
ENSMUSG00000001157	157
ENSMUSG00000001158	2029
ENSMUSG00000001166	21
ENSMUSG00000001168	0
ENSMUSG00000001173	1150
ENSMUSG00000001175	33449
ENSMUSG00000001211	4654
ENSMUSG00000001225	0
ENSMUSG00000001227	166
ENSMUSG00000001228	15
ENSMUSG00000001229	1513
ENSMUSG00000001240	546
ENSMUSG00000001247	29
ENSMUSG00000001248	1538
ENSMUSG00000001249	71
ENSMUSG00000001260	9
ENSMUSG00000001270	42
ENSMUSG00000001280	1522
ENSMUSG00000001281	176
