Old_Lung_dox-treated_5259
ENSMUSG00000000001	3185
ENSMUSG00000000003	0
ENSMUSG00000000028	105
ENSMUSG00000000031	27
ENSMUSG00000000037	7
ENSMUSG00000000049	3
ENSMUSG00000000056	699
ENSMUSG00000000058	6869
ENSMUSG00000000078	5328
ENSMUSG00000000085	1428
ENSMUSG00000000088	388
ENSMUSG00000000093	4015
ENSMUSG00000000094	1383
ENSMUSG00000000103	0
ENSMUSG00000000120	17
ENSMUSG00000000125	1
ENSMUSG00000000126	491
ENSMUSG00000000127	449
ENSMUSG00000000131	1773
ENSMUSG00000000134	1445
ENSMUSG00000000142	530
ENSMUSG00000000148	621
ENSMUSG00000000149	3170
ENSMUSG00000000154	469
ENSMUSG00000000157	25
ENSMUSG00000000159	948
ENSMUSG00000000167	345
ENSMUSG00000000168	1172
ENSMUSG00000000171	3191
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	3172
ENSMUSG00000000194	2066
ENSMUSG00000000197	31
ENSMUSG00000000202	9
ENSMUSG00000000204	403
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	6450
ENSMUSG00000000223	16
ENSMUSG00000000244	201
ENSMUSG00000000247	3
ENSMUSG00000000248	2
ENSMUSG00000000253	521
ENSMUSG00000000263	0
ENSMUSG00000000266	1670
ENSMUSG00000000275	2700
ENSMUSG00000000276	986
ENSMUSG00000000278	1410
ENSMUSG00000000282	978
ENSMUSG00000000290	2985
ENSMUSG00000000295	310
ENSMUSG00000000296	45
ENSMUSG00000000301	92
ENSMUSG00000000303	14371
ENSMUSG00000000305	112
ENSMUSG00000000308	1561
ENSMUSG00000000317	680
ENSMUSG00000000318	138
ENSMUSG00000000320	601
ENSMUSG00000000325	963
ENSMUSG00000000326	2434
ENSMUSG00000000339	347
ENSMUSG00000000340	848
ENSMUSG00000000346	8070
ENSMUSG00000000355	635
ENSMUSG00000000359	155
ENSMUSG00000000365	16
ENSMUSG00000000374	1975
ENSMUSG00000000378	1112
ENSMUSG00000000381	0
ENSMUSG00000000384	539
ENSMUSG00000000385	3783
ENSMUSG00000000386	112
ENSMUSG00000000392	30
ENSMUSG00000000394	2
ENSMUSG00000000399	1947
ENSMUSG00000000402	2890
ENSMUSG00000000409	432
ENSMUSG00000000411	2
ENSMUSG00000000416	149
ENSMUSG00000000420	2758
ENSMUSG00000000435	0
ENSMUSG00000000439	1222
ENSMUSG00000000440	505
ENSMUSG00000000441	1075
ENSMUSG00000000486	471
ENSMUSG00000000489	4084
ENSMUSG00000000530	13079
ENSMUSG00000000531	692
ENSMUSG00000000532	1978
ENSMUSG00000000538	2800
ENSMUSG00000000544	131
ENSMUSG00000000552	417
ENSMUSG00000000555	988
ENSMUSG00000000560	0
ENSMUSG00000000561	584
ENSMUSG00000000562	47
ENSMUSG00000000563	2979
ENSMUSG00000000567	26
ENSMUSG00000000568	1934
ENSMUSG00000000579	0
ENSMUSG00000000581	796
ENSMUSG00000000594	4402
ENSMUSG00000000600	797
