4F_Spleen_dox-treated_0989
ENSMUSG00000000001	4771
ENSMUSG00000000003	0
ENSMUSG00000000028	563
ENSMUSG00000000031	64
ENSMUSG00000000037	12
ENSMUSG00000000049	15
ENSMUSG00000000056	1772
ENSMUSG00000000058	564
ENSMUSG00000000078	3537
ENSMUSG00000000085	820
ENSMUSG00000000088	1704
ENSMUSG00000000093	273
ENSMUSG00000000094	1
ENSMUSG00000000103	0
ENSMUSG00000000120	601
ENSMUSG00000000125	30
ENSMUSG00000000126	24
ENSMUSG00000000127	257
ENSMUSG00000000131	5160
ENSMUSG00000000134	1864
ENSMUSG00000000142	343
ENSMUSG00000000148	1227
ENSMUSG00000000149	4760
ENSMUSG00000000154	46
ENSMUSG00000000157	47
ENSMUSG00000000159	1
ENSMUSG00000000167	12
ENSMUSG00000000168	1007
ENSMUSG00000000171	3104
ENSMUSG00000000182	3
ENSMUSG00000000183	1
ENSMUSG00000000184	7344
ENSMUSG00000000194	2922
ENSMUSG00000000197	13
ENSMUSG00000000202	1
ENSMUSG00000000204	405
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	56
ENSMUSG00000000244	2393
ENSMUSG00000000247	15
ENSMUSG00000000248	78
ENSMUSG00000000253	155
ENSMUSG00000000263	0
ENSMUSG00000000266	528
ENSMUSG00000000275	5152
ENSMUSG00000000276	1100
ENSMUSG00000000278	3244
ENSMUSG00000000282	1753
ENSMUSG00000000290	14330
ENSMUSG00000000295	302
ENSMUSG00000000296	14
ENSMUSG00000000301	41
ENSMUSG00000000303	86
ENSMUSG00000000305	184
ENSMUSG00000000308	8
ENSMUSG00000000317	449
ENSMUSG00000000318	165
ENSMUSG00000000320	1176
ENSMUSG00000000325	1619
ENSMUSG00000000326	2059
ENSMUSG00000000339	896
ENSMUSG00000000340	693
ENSMUSG00000000346	9675
ENSMUSG00000000355	772
ENSMUSG00000000359	199
ENSMUSG00000000365	18
ENSMUSG00000000374	3780
ENSMUSG00000000378	4405
ENSMUSG00000000381	0
ENSMUSG00000000384	1749
ENSMUSG00000000385	6
ENSMUSG00000000386	636
ENSMUSG00000000392	59
ENSMUSG00000000394	0
ENSMUSG00000000399	1947
ENSMUSG00000000402	30
ENSMUSG00000000409	5784
ENSMUSG00000000411	0
ENSMUSG00000000416	171
ENSMUSG00000000420	4964
ENSMUSG00000000435	0
ENSMUSG00000000439	984
ENSMUSG00000000440	644
ENSMUSG00000000441	5185
ENSMUSG00000000486	6099
ENSMUSG00000000489	916
ENSMUSG00000000530	1614
ENSMUSG00000000531	168
ENSMUSG00000000532	1365
ENSMUSG00000000538	1952
ENSMUSG00000000544	0
ENSMUSG00000000552	1282
ENSMUSG00000000555	613
ENSMUSG00000000560	3
ENSMUSG00000000561	713
ENSMUSG00000000562	52
ENSMUSG00000000563	2662
ENSMUSG00000000567	27
ENSMUSG00000000568	3635
ENSMUSG00000000579	0
ENSMUSG00000000581	841
ENSMUSG00000000594	13722
ENSMUSG00000000600	1513
ENSMUSG00000000605	3586
ENSMUSG00000000606	0
ENSMUSG00000000617	110
ENSMUSG00000000627	371
ENSMUSG00000000628	787
ENSMUSG00000000631	4058
ENSMUSG00000000632	1
